0 I 6826 <6825, 5> <6827, 5>
5548  L 8109 5548 <8108, 2> <8110, 3>
5549  L 8110 5549 <8109, 3> <8111, 3>
5550  L 8111 5550 <8110, 3> <8112, 5>
5552  L 8112 5552 <8111, 5> <8113, 2>
5554  L 8113 5554 <8112, 2> <8114, 4>
5556  L 8114 5556 <8113, 4> <8115, 1>
5558  L 8115 5558 <8114, 1> <8116, 1>
5559  L 8116 5559 <8115, 1> <8117, 3>
5560  L 8117 5560 <8116, 3> <8118, 3>
5561  L 8118 5561 <8117, 3> <8119, 2>
5563  L 8119 5563 <8118, 2> <8120, 3>
5565  L 8120 5565 <8119, 3> <8121, 6>
5566  L 8121 5566 <8120, 6> <8122, 1>
5568  L 8122 5568 <8121, 1> <8123, 4>
5570  L 8123 5570 <8122, 4> <8124, 2>
5572  L 8124 5572 <8123, 2> <8125, 2>
5574  L 8125 5574 <8124, 2> <8126, 2>
5575  L 8126 5575 <8125, 2> <8127, 1>
5576  L 8127 5576 <8126, 1> <8128, 2>
5578  L 8128 5578 <8127, 2> <8129, 1>
5579  L 8129 5579 <8128, 1> <8130, 2>
5581  L 8130 5581 <8129, 2> <8131, 1>
5583  L 8131 5583 <8130, 1> <8132, 4>
5584  L 8132 5584 <8131, 4> <8133, 4>
5585  L 8133 5585 <8132, 4> <8134, 1>
5586  L 8134 5586 <8133, 1> <8135, 1>
5587  L 8135 5587 <8134, 1> <8136, 5>
5588  L 8136 5588 <8135, 5> <8137, 1>
5590  L 8137 5590 <8136, 1> <8138, 5>
5592  L 8138 5592 <8137, 5> <8139, 1>
5594  L 8139 5594 <8138, 1> <8140, 3>
5596  L 8140 5596 <8139, 3> <8141, 3>
5597  L 8141 5597 <8140, 3> <8142, 1>
5598  L 8142 5598 <8141, 1> <8143, 1>
5599  L 8143 5599 <8142, 1> <8144, 4>
5601  L 8144 5601 <8143, 4> <8145, 3>
5602  L 8145 5602 <8144, 3> <8146, 4>
5604  L 8146 5604 <8145, 4> <8147, 5>
5605  L 8147 5605 <8146, 5> <8148, 3>
5606  L 8148 5606 <8147, 3> <8149, 6>
5607  L 8149 5607 <8148, 6> <8150, 3>
5609  L 8150 5609 <8149, 3> <8151, 4>
5610  L 8151 5610 <8150, 4> <8152, 4>
5611  L 8152 5611 <8151, 4> <8153, 3>
5613  L 8153 5613 <8152, 3> <8154, 1>
5615  L 8154 5615 <8153, 1> <8155, 1>
5617  L 8155 5617 <8154, 1> <8156, 2>
5618  L 8156 5618 <8155, 2> <8157, 3>
5619  L 8157 5619 <8156, 3> <8158, 4>
5621  L 8158 5621 <8157, 4> <8159, 2>
5623  L 8159 5623 <8158, 2> <8160, 4>
5625  L 8160 5625 <8159, 4> <8161, 6>
5626  L 8161 5626 <8160, 6> <8162, 4>
5628  L 8162 5628 <8161, 4> <8163, 4>
5630  L 8163 5630 <8162, 4> <8164, 1>
5631  L 8164 5631 <8163, 1> <8165, 2>
5632  L 8165 5632 <8164, 2> <8166, 1>
5634  L 8166 5634 <8165, 1> <8167, 4>
5635  L 8167 5635 <8166, 4> <8168, 6>
5636  L 8168 5636 <8167, 6> <8169, 4>
5637  L 8169 5637 <8168, 4> <8170, 2>
5638  L 8170 5638 <8169, 2> <8171, 5>
5639  L 8171 5639 <8170, 5> <8172, 3>
5640  L 8172 5640 <8171, 3> <8173, 2>
5642  L 8173 5642 <8172, 2> <8174, 5>
5644  L 8174 5644 <8173, 5> <8175, 5>
5646  L 8175 5646 <8174, 5> <8176, 2>
5647  L 8176 5647 <8175, 2> <8177, 4>
5648  L 8177 5648 <8176, 4> <8178, 5>
5650  L 8178 5650 <8177, 5> <8179, 3>
5652  L 8179 5652 <8178, 3> <8180, 3>
5654  L 8180 5654 <8179, 3> <8181, 5>
5656  L 8181 5656 <8180, 5> <8182, 2>
5658  L 8182 5658 <8181, 2> <8183, 5>
5659  L 8183 5659 <8182, 5> <8184, 5>
5661  L 8184 5661 <8183, 5> <8185, 1>
5663  L 8185 5663 <8184, 1> <8186, 1>
5664  L 8186 5664 <8185, 1> <8187, 3>
5666  L 8187 5666 <8186, 3> <8188, 3>
5667  L 8188 5667 <8187, 3> <8189, 6>
5668  L 8189 5668 <8188, 6> <8190, 1>
5670  L 8190 5670 <8189, 1> <8191, 4>
5671  L 8191 5671 <8190, 4> <8192, 3>
5672  L 8192 5672 <8191, 3> <8193, 3>
5673  L 8193 5673 <8192, 3> <8194, 4>
5674  L 8194 5674 <8193, 4> <8195, 3>
5675  L 8195 5675 <8194, 3> <8196, 4>
5677  L 8196 5677 <8195, 4> <8197, 4>
5678  L 8197 5678 <8196, 4> <8198, 3>
5679  L 8198 5679 <8197, 3> <8199, 2>
5680  L 8199 5680 <8198, 2> <8200, 3>
5681  L 8200 5681 <8199, 3> <8201, 4>
5682  L 8201 5682 <8200, 4> <8202, 3>
5684  L 8202 5684 <8201, 3> <8203, 1>
5685  L 8203 5685 <8202, 1> <8204, 1>
5686  L 8204 5686 <8203, 1> <8205, 2>
5687  L 8205 5687 <8204, 2> <8206, 3>
5688  L 8206 5688 <8205, 3> <8207, 2>
5690  L 8207 5690 <8206, 2> <8208, 5>
5691  L 8208 5691 <8207, 5> <8209, 5>
5692  L 8209 5692 <8208, 5> <8210, 3>
5694  L 8210 5694 <8209, 3> <8211, 3>
5696  L 8211 5696 <8210, 3> <8212, 2>
5698  L 8212 5698 <8211, 2> <8213, 3>
5700  L 8213 5700 <8212, 3> <8214, 2>
5702  L 8214 5702 <8213, 2> <8215, 1>
5704  L 8215 5704 <8214, 1> <8216, 4>
5705  L 8216 5705 <8215, 4> <8217, 5>
5707  L 8217 5707 <8216, 5> <8218, 1>
5709  L 8218 5709 <8217, 1> <8219, 3>
5711  L 8219 5711 <8218, 3> <8220, 4>
5712  L 8220 5712 <8219, 4> <8221, 2>
5713  L 8221 5713 <8220, 2> <8222, 4>
5715  L 8222 5715 <8221, 4> <8223, 3>
5717  L 8223 5717 <8222, 3> <8224, 3>
5718  L 8224 5718 <8223, 3> <8225, 3>
5719  L 8225 5719 <8224, 3> <8226, 3>
5721  L 8226 5721 <8225, 3> <8227, 2>
5722  L 8227 5722 <8226, 2> <8228, 1>
5723  L 8228 5723 <8227, 1> <8229, 6>
5725  L 8229 5725 <8228, 6> <8230, 4>
5727  L 8230 5727 <8229, 4> <8231, 1>
5729  L 8231 5729 <8230, 1> <8232, 6>
5731  L 8232 5731 <8231, 6> <8233, 3>
5733  L 8233 5733 <8232, 3> <8234, 1>
5734  L 8234 5734 <8233, 1> <8235, 2>
5736  L 8235 5736 <8234, 2> <8236, 1>
5737  L 8236 5737 <8235, 1> <8237, 4>
5738  L 8237 5738 <8236, 4> <8238, 2>
5740  L 8238 5740 <8237, 2> <8239, 5>
5742  L 8239 5742 <8238, 5> <8240, 5>
5743  L 8240 5743 <8239, 5> <8241, 6>
5745  L 8241 5745 <8240, 6> <8242, 1>
5746  L 8242 5746 <8241, 1> <8243, 2>
5748  L 8243 5748 <8242, 2> <8244, 1>
5750  L 8244 5750 <8243, 1> <8245, 1>
5752  L 8245 5752 <8244, 1> <8246, 1>
5753  L 8246 5753 <8245, 1> <8247, 5>
5754  L 8247 5754 <8246, 5> <8248, 5>
5755  L 8248 5755 <8247, 5> <8249, 3>
5757  L 8249 5757 <8248, 3> <8250, 5>
5758  L 8250 5758 <8249, 5> <8251, 5>
5759  L 8251 5759 <8250, 5> <8252, 2>
5760  L 8252 5760 <8251, 2> <8253, 3>
5761  L 8253 5761 <8252, 3> <8254, 5>
5763  L 8254 5763 <8253, 5> <8255, 4>
5764  L 8255 5764 <8254, 4> <8256, 5>
5765  L 8256 5765 <8255, 5> <8257, 3>
5767  L 8257 5767 <8256, 3> <8258, 3>
5769  L 8258 5769 <8257, 3> <8259, 4>
5770  L 8259 5770 <8258, 4> <8260, 4>
5771  L 8260 5771 <8259, 4> <8261, 1>
5773  L 8261 5773 <8260, 1> <8262, 2>
5775  L 8262 5775 <8261, 2> <8263, 2>
5776  L 8263 5776 <8262, 2> <8264, 4>
5778  L 8264 5778 <8263, 4> <8265, 4>
5779  L 8265 5779 <8264, 4> <8266, 3>
5781  L 8266 5781 <8265, 3> <8267, 6>
5783  L 8267 5783 <8266, 6> <8268, 2>
5785  L 8268 5785 <8267, 2> <8269, 6>
5786  L 8269 5786 <8268, 6> <8270, 1>
5787  L 8270 5787 <8269, 1> <8271, 1>
5789  L 8271 5789 <8270, 1> <8272, 1>
5790  L 8272 5790 <8271, 1> <8273, 6>
5791  L 8273 5791 <8272, 6> <8274, 1>
5792  L 8274 5792 <8273, 1> <8275, 1>
5793  L 8275 5793 <8274, 1> <8276, 5>
5795  L 8276 5795 <8275, 5> <8277, 2>
5797  L 8277 5797 <8276, 2> <8278, 5>
5798  L 8278 5798 <8277, 5> <8279, 3>
5799  L 8279 5799 <8278, 3> <8280, 5>
5801  L 8280 5801 <8279, 5> <8281, 4>
5803  L 8281 5803 <8280, 4> <8282, 3>
5805  L 8282 5805 <8281, 3> <8283, 3>
5806  L 8283 5806 <8282, 3> <8284, 1>
5808  L 8284 5808 <8283, 1> <8285, 6>
5810  L 8285 5810 <8284, 6> <8286, 3>
5811  L 8286 5811 <8285, 3> <8287, 4>
5812  L 8287 5812 <8286, 4> <8288, 2>
5813  L 8288 5813 <8287, 2> <8289, 1>
5815  L 8289 5815 <8288, 1> <8290, 5>
5816  L 8290 5816 <8289, 5> <8291, 2>
5818  L 8291 5818 <8290, 2> <8292, 6>
5819  L 8292 5819 <8291, 6> <8293, 3>
5821  L 8293 5821 <8292, 3> <8294, 1>
5822  L 8294 5822 <8293, 1> <8295, 1>
5823  L 8295 5823 <8294, 1> <8296, 6>
5824  L 8296 5824 <8295, 6> <8297, 6>
5825  L 8297 5825 <8296, 6> <8298, 4>
5826  L 8298 5826 <8297, 4> <8299, 5>
5828  L 8299 5828 <8298, 5> <8300, 3>
5830  L 8300 5830 <8299, 3> <8301, 4>
5832  L 8301 5832 <8300, 4> <8302, 5>
5833  L 8302 5833 <8301, 5> <8303, 2>
5834  L 8303 5834 <8302, 2> <8304, 1>
5835  L 8304 5835 <8303, 1> <8305, 3>
5837  L 8305 5837 <8304, 3> <8306, 1>
5838  L 8306 5838 <8305, 1> <8307, 3>
5839  L 8307 5839 <8306, 3> <8308, 1>
5841  L 8308 5841 <8307, 1> <8309, 1>
5842  L 8309 5842 <8308, 1> <8310, 1>
5844  L 8310 5844 <8309, 1> <8311, 1>
5845  L 8311 5845 <8310, 1> <8312, 3>
5847  L 8312 5847 <8311, 3> <8313, 2>
5848  L 8313 5848 <8312, 2> <8314, 2>
5849  L 8314 5849 <8313, 2> <8315, 6>
5850  L 8315 5850 <8314, 6> <8316, 2>
5851  L 8316 5851 <8315, 2> <8317, 4>
5853  L 8317 5853 <8316, 4> <8318, 2>
5855  L 8318 5855 <8317, 2> <8319, 3>
5857  L 8319 5857 <8318, 3> <8320, 1>
5858  L 8320 5858 <8319, 1> <8321, 1>
5859  L 8321 5859 <8320, 1> <8322, 5>
5860  L 8322 5860 <8321, 5> <8323, 4>
5862  L 8323 5862 <8322, 4> <8324, 2>
5863  L 8324 5863 <8323, 2> <8325, 4>
5864  L 8325 5864 <8324, 4> <8326, 5>
5865  L 8326 5865 <8325, 5> <8327, 1>
5866  L 8327 5866 <8326, 1> <8328, 2>
5868  L 8328 5868 <8327, 2> <8329, 4>
5869  L 8329 5869 <8328, 4> <8330, 3>
5870  L 8330 5870 <8329, 3> <8331, 5>
5872  L 8331 5872 <8330, 5> <8332, 3>
5874  L 8332 5874 <8331, 3> <8333, 3>
5876  L 8333 5876 <8332, 3> <8334, 4>
5878  L 8334 5878 <8333, 4> <8335, 6>
5879  L 8335 5879 <8334, 6> <8336, 1>
5881  L 8336 5881 <8335, 1> <8337, 5>
5883  L 8337 5883 <8336, 5> <8338, 2>
5885  L 8338 5885 <8337, 2> <8339, 4>
5886  L 8339 5886 <8338, 4> <8340, 3>
5888  L 8340 5888 <8339, 3> <8341, 2>
5889  L 8341 5889 <8340, 2> <8342, 5>
5890  L 8342 5890 <8341, 5> <8343, 2>
5892  L 8343 5892 <8342, 2> <8344, 1>
5894  L 8344 5894 <8343, 1> <8345, 2>
5896  L 8345 5896 <8344, 2> <8346, 3>
5897  L 8346 5897 <8345, 3> <8347, 2>
5898  L 8347 5898 <8346, 2> <8348, 4>
5899  L 8348 5899 <8347, 4> <8349, 6>
5900  L 8349 5900 <8348, 6> <8350, 2>
5902  L 8350 5902 <8349, 2> <8351, 4>
5903  L 8351 5903 <8350, 4> <8352, 1>
5904  L 8352 5904 <8351, 1> <8353, 1>
5906  L 8353 5906 <8352, 1> <8354, 2>
5908  L 8354 5908 <8353, 2> <8355, 4>
5910  L 8355 5910 <8354, 4> <8356, 1>
5911  L 8356 5911 <8355, 1> <8357, 3>
5912  L 8357 5912 <8356, 3> <8358, 5>
5914  L 8358 5914 <8357, 5> <8359, 4>
5915  L 8359 5915 <8358, 4> <8360, 6>
5917  L 8360 5917 <8359, 6> <8361, 3>
5919  L 8361 5919 <8360, 3> <8362, 2>
5921  L 8362 5921 <8361, 2> <8363, 1>
5923  L 8363 5923 <8362, 1> <8364, 5>
5925  L 8364 5925 <8363, 5> <8365, 2>
5927  L 8365 5927 <8364, 2> <8366, 4>
5928  L 8366 5928 <8365, 4> <8367, 3>
5930  L 8367 5930 <8366, 3> <8368, 2>
5931  L 8368 5931 <8367, 2> <8369, 3>
5933  L 8369 5933 <8368, 3> <8370, 2>
5935  L 8370 5935 <8369, 2> <8371, 1>
5936  L 8371 5936 <8370, 1> <8372, 5>
5938  L 8372 5938 <8371, 5> <8373, 5>
5939  L 8373 5939 <8372, 5> <8374, 1>
5940  L 8374 5940 <8373, 1> <8375, 1>
5941  L 8375 5941 <8374, 1> <8376, 2>
5942  L 8376 5942 <8375, 2> <8377, 6>
5944  L 8377 5944 <8376, 6> <8378, 5>
5946  L 8378 5946 <8377, 5> <8379, 4>
5948  L 8379 5948 <8378, 4> <8380, 4>
5949  L 8380 5949 <8379, 4> <8381, 6>
5951  L 8381 5951 <8380, 6> <8382, 6>
5952  L 8382 5952 <8381, 6> <8383, 5>
5954  L 8383 5954 <8382, 5> <8384, 3>
5955  L 8384 5955 <8383, 3> <8385, 4>
5956  L 8385 5956 <8384, 4> <8386, 5>
5958  L 8386 5958 <8385, 5> <8387, 4>
5960  L 8387 5960 <8386, 4> <8388, 5>
5962  L 8388 5962 <8387, 5> <8389, 2>
5964  L 8389 5964 <8388, 2> <8390, 1>
5966  L 8390 5966 <8389, 1> <8391, 4>
5968  L 8391 5968 <8390, 4> <8392, 2>
5970  L 8392 5970 <8391, 2> <8393, 4>
5972  L 8393 5972 <8392, 4> <8394, 1>
5974  L 8394 5974 <8393, 1> <8395, 4>
5976  L 8395 5976 <8394, 4> <8396, 5>
5977  L 8396 5977 <8395, 5> <8397, 2>
5978  L 8397 5978 <8396, 2> <8398, 4>
5979  L 8398 5979 <8397, 4> <8399, 2>
5981  L 8399 5981 <8398, 2> <8400, 4>
5983  L 8400 5983 <8399, 4> <8401, 4>
5985  L 8401 5985 <8400, 4> <8402, 3>
5986  L 8402 5986 <8401, 3> <8403, 6>
5987  L 8403 5987 <8402, 6> <8404, 4>
5988  L 8404 5988 <8403, 4> <8405, 1>
5989  L 8405 5989 <8404, 1> <8406, 5>
5991  L 8406 5991 <8405, 5> <8407, 1>
5992  L 8407 5992 <8406, 1> <8408, 1>
5993  L 8408 5993 <8407, 1> <8409, 4>
5994  L 8409 5994 <8408, 4> <8410, 1>
5996  L 8410 5996 <8409, 1> <8411, 4>
5998  L 8411 5998 <8410, 4> <8412, 6>
6000  L 8412 6000 <8411, 6> <8413, 1>
6002  L 8413 6002 <8412, 1> <8414, 2>
6004  L 8414 6004 <8413, 2> <8415, 5>
6005  L 8415 6005 <8414, 5> <8416, 6>
6007  L 8416 6007 <8415, 6> <8417, 4>
6008  L 8417 6008 <8416, 4> <8418, 3>
6010  L 8418 6010 <8417, 3> <8419, 2>
6011  L 8419 6011 <8418, 2> <8420, 5>
6012  L 8420 6012 <8419, 5> <8421, 4>
6014  L 8421 6014 <8420, 4> <8422, 6>
6016  L 8422 6016 <8421, 6> <8423, 3>
6017  L 8423 6017 <8422, 3> <8424, 4>
6018  L 8424 6018 <8423, 4> <8425, 1>
6020  L 8425 6020 <8424, 1> <8426, 5>
6021  L 8426 6021 <8425, 5> <8427, 3>
6022  L 8427 6022 <8426, 3> <8428, 4>
6024  L 8428 6024 <8427, 4> <8429, 2>
6025  L 8429 6025 <8428, 2> <8430, 5>
6027  L 8430 6027 <8429, 5> <8431, 5>
6029  L 8431 6029 <8430, 5> <8432, 5>
6031  L 8432 6031 <8431, 5> <8433, 1>
6032  L 8433 6032 <8432, 1> <8434, 3>
6034  L 8434 6034 <8433, 3> <8435, 6>
6035  L 8435 6035 <8434, 6> <8436, 4>
6037  L 8436 6037 <8435, 4> <8437, 4>
6039  L 8437 6039 <8436, 4> <8438, 4>
6041  L 8438 6041 <8437, 4> <8439, 2>
6043  L 8439 6043 <8438, 2> <8440, 3>
6045  L 8440 6045 <8439, 3> <8441, 4>
6047  L 8441 6047 <8440, 4> <8442, 1>
6049  L 8442 6049 <8441, 1> <8443, 1>
6051  L 8443 6051 <8442, 1> <8444, 5>
6053  L 8444 6053 <8443, 5> <8445, 2>
6055  L 8445 6055 <8444, 2> <8446, 4>
6057  L 8446 6057 <8445, 4> <8447, 1>
6059  L 8447 6059 <8446, 1> <8448, 4>
6060  L 8448 6060 <8447, 4> <8449, 4>
6061  L 8449 6061 <8448, 4> <8450, 3>
6063  L 8450 6063 <8449, 3> <8451, 2>
6064  L 8451 6064 <8450, 2> <8452, 3>
6065  L 8452 6065 <8451, 3> <8453, 3>
6066  L 8453 6066 <8452, 3> <8454, 1>
6067  L 8454 6067 <8453, 1> <8455, 6>
6069  L 8455 6069 <8454, 6> <8456, 3>
6070  L 8456 6070 <8455, 3> <8457, 6>
6071  L 8457 6071 <8456, 6> <8458, 4>
6072  L 8458 6072 <8457, 4> <8459, 3>
6074  L 8459 6074 <8458, 3> <8460, 4>
6075  L 8460 6075 <8459, 4> <8461, 2>
6076  L 8461 6076 <8460, 2> <8462, 1>
6077  L 8462 6077 <8461, 1> <8463, 4>
6078  L 8463 6078 <8462, 4> <8464, 5>
6080  L 8464 6080 <8463, 5> <8465, 5>
6082  L 8465 6082 <8464, 5> <8466, 2>
6084  L 8466 6084 <8465, 2> <8467, 1>
6085  L 8467 6085 <8466, 1> <8468, 5>
6086  L 8468 6086 <8467, 5> <8469, 4>
6088  L 8469 6088 <8468, 4> <8470, 4>
6090  L 8470 6090 <8469, 4> <8471, 1>
6091  L 8471 6091 <8470, 1> <8472, 4>
6092  L 8472 6092 <8471, 4> <8473, 1>
6093  L 8473 6093 <8472, 1> <8474, 4>
6094  L 8474 6094 <8473, 4> <8475, 4>
6096  L 8475 6096 <8474, 4> <8476, 1>
6098  L 8476 6098 <8475, 1> <8477, 1>
6099  L 8477 6099 <8476, 1> <8478, 3>
6101  L 8478 6101 <8477, 3> <8479, 3>
6103  L 8479 6103 <8478, 3> <8480, 3>
6105  L 8480 6105 <8479, 3> <8481, 1>
6106  L 8481 6106 <8480, 1> <8482, 1>
6107  L 8482 6107 <8481, 1> <8483, 3>
6108  L 8483 6108 <8482, 3> <8484, 3>
6110  L 8484 6110 <8483, 3> <8485, 1>
6111  L 8485 6111 <8484, 1> <8486, 3>
6112  L 8486 6112 <8485, 3> <8487, 2>
6113  L 8487 6113 <8486, 2> <8488, 1>
6115  L 8488 6115 <8487, 1> <8489, 1>
6117  L 8489 6117 <8488, 1> <8490, 5>
6119  L 8490 6119 <8489, 5> <8491, 4>
6120  L 8491 6120 <8490, 4> <8492, 2>
6121  L 8492 6121 <8491, 2> <8493, 3>
6123  L 8493 6123 <8492, 3> <8494, 3>
6124  L 8494 6124 <8493, 3> <8495, 1>
6125  L 8495 6125 <8494, 1> <8496, 5>
6126  L 8496 6126 <8495, 5> <8497, 4>
6128  L 8497 6128 <8496, 4> <8498, 6>
6129  L 8498 6129 <8497, 6> <8499, 1>
6130  L 8499 6130 <8498, 1> <8500, 2>
6132  L 8500 6132 <8499, 2> <8501, 2>
6134  L 8501 6134 <8500, 2> <8502, 3>
6136  L 8502 6136 <8501, 3> <8503, 6>
6138  L 8503 6138 <8502, 6> <8504, 5>
6140  L 8504 6140 <8503, 5> <8505, 4>
6141  L 8505 6141 <8504, 4> <8506, 4>
6142  L 8506 6142 <8505, 4> <8507, 2>
6144  L 8507 6144 <8506, 2> <8508, 1>
6146  L 8508 6146 <8507, 1> <8509, 3>
6148  L 8509 6148 <8508, 3> <8510, 5>
6150  L 8510 6150 <8509, 5> <8511, 5>
6152  L 8511 6152 <8510, 5> <8512, 3>
6153  L 8512 6153 <8511, 3> <8513, 5>
6155  L 8513 6155 <8512, 5> <8514, 2>
6157  L 8514 6157 <8513, 2> <8515, 6>
6158  L 8515 6158 <8514, 6> <8516, 5>
6159  L 8516 6159 <8515, 5> <8517, 1>
6161  L 8517 6161 <8516, 1> <8518, 1>
6163  L 8518 6163 <8517, 1> <8519, 1>
6165  L 8519 6165 <8518, 1> <8520, 4>
6166  L 8520 6166 <8519, 4> <8521, 5>
6168  L 8521 6168 <8520, 5> <8522, 2>
6169  L 8522 6169 <8521, 2> <8523, 1>
6170  L 8523 6170 <8522, 1> <8524, 4>
6171  L 8524 6171 <8523, 4> <8525, 2>
6173  L 8525 6173 <8524, 2> <8526, 1>
6174  L 8526 6174 <8525, 1> <8527, 4>
6175  L 8527 6175 <8526, 4> <8528, 2>
6177  L 8528 6177 <8527, 2> <8529, 4>
6179  L 8529 6179 <8528, 4> <8530, 3>
6181  L 8530 6181 <8529, 3> <8531, 1>
6183  L 8531 6183 <8530, 1> <8532, 6>
6184  L 8532 6184 <8531, 6> <8533, 3>
6185  L 8533 6185 <8532, 3> <8534, 3>
6186  L 8534 6186 <8533, 3> <8535, 1>
6187  L 8535 6187 <8534, 1> <8536, 5>
6188  L 8536 6188 <8535, 5> <8537, 6>
6189  L 8537 6189 <8536, 6> <8538, 1>
6190  L 8538 6190 <8537, 1> <8539, 2>
6192  L 8539 6192 <8538, 2> <8540, 4>
6194  L 8540 6194 <8539, 4> <8541, 4>
6196  L 8541 6196 <8540, 4> <8542, 5>
6198  L 8542 6198 <8541, 5> <8543, 3>
6199  L 8543 6199 <8542, 3> <8544, 3>
6201  L 8544 6201 <8543, 3> <8545, 4>
6202  L 8545 6202 <8544, 4> <8546, 3>
6204  L 8546 6204 <8545, 3> <8547, 5>
6206  L 8547 6206 <8546, 5> <8548, 3>
6208  L 8548 6208 <8547, 3> <8549, 1>
6209  L 8549 6209 <8548, 1> <8550, 2>
6210  L 8550 6210 <8549, 2> <8551, 1>
6211  L 8551 6211 <8550, 1> <8552, 5>
6212  L 8552 6212 <8551, 5> <8553, 6>
6213  L 8553 6213 <8552, 6> <8554, 5>
6215  L 8554 6215 <8553, 5> <8555, 4>
6217  L 8555 6217 <8554, 4> <8556, 1>
6219  L 8556 6219 <8555, 1> <8557, 2>
6220  L 8557 6220 <8556, 2> <8558, 5>
6222  L 8558 6222 <8557, 5> <8559, 3>
6224  L 8559 6224 <8558, 3> <8560, 2>
6226  L 8560 6226 <8559, 2> <8561, 2>
6228  L 8561 6228 <8560, 2> <8562, 4>
6230  L 8562 6230 <8561, 4> <8563, 5>
6231  L 8563 6231 <8562, 5> <8564, 3>
6232  L 8564 6232 <8563, 3> <8565, 5>
6234  L 8565 6234 <8564, 5> <8566, 6>
6235  L 8566 6235 <8565, 6> <8567, 5>
6236  L 8567 6236 <8566, 5> <8568, 6>
6238  L 8568 6238 <8567, 6> <8569, 6>
6239  L 8569 6239 <8568, 6> <8570, 2>
6240  L 8570 6240 <8569, 2> <8571, 1>
6242  L 8571 6242 <8570, 1> <8572, 5>
6243  L 8572 6243 <8571, 5> <8573, 6>
6244  L 8573 6244 <8572, 6> <8574, 1>
6246  L 8574 6246 <8573, 1> <8575, 2>
6248  L 8575 6248 <8574, 2> <8576, 4>
6249  L 8576 6249 <8575, 4> <8577, 6>
6251  L 8577 6251 <8576, 6> <8578, 5>
6252  L 8578 6252 <8577, 5> <8579, 3>
6254  L 8579 6254 <8578, 3> <8580, 2>
6256  L 8580 6256 <8579, 2> <8581, 5>
6258  L 8581 6258 <8580, 5> <8582, 2>
6259  L 8582 6259 <8581, 2> <8583, 5>
6260  L 8583 6260 <8582, 5> <8584, 5>
6261  L 8584 6261 <8583, 5> <8585, 4>
6262  L 8585 6262 <8584, 4> <8586, 1>
6263  L 8586 6263 <8585, 1> <8587, 4>
6264  L 8587 6264 <8586, 4> <8588, 6>
6266  L 8588 6266 <8587, 6> <8589, 6>
6267  L 8589 6267 <8588, 6> <8590, 5>
6268  L 8590 6268 <8589, 5> <8591, 3>
6270  L 8591 6270 <8590, 3> <8592, 5>
6271  L 8592 6271 <8591, 5> <8593, 1>
6273  L 8593 6273 <8592, 1> <8594, 3>
6275  L 8594 6275 <8593, 3> <8595, 1>
6276  L 8595 6276 <8594, 1> <8596, 5>
6278  L 8596 6278 <8595, 5> <8597, 2>
6280  L 8597 6280 <8596, 2> <8598, 2>
6281  L 8598 6281 <8597, 2> <8599, 3>
6283  L 8599 6283 <8598, 3> <8600, 2>
6284  L 8600 6284 <8599, 2> <8601, 3>
6286  L 8601 6286 <8600, 3> <8602, 4>
6287  L 8602 6287 <8601, 4> <8603, 3>
6288  L 8603 6288 <8602, 3> <8604, 5>
6290  L 8604 6290 <8603, 5> <8605, 4>
6292  L 8605 6292 <8604, 4> <8606, 4>
6293  L 8606 6293 <8605, 4> <8607, 5>
6294  L 8607 6294 <8606, 5> <8608, 5>
6296  L 8608 6296 <8607, 5> <8609, 3>
6298  L 8609 6298 <8608, 3> <8610, 3>
6299  L 8610 6299 <8609, 3> <8611, 3>
6300  L 8611 6300 <8610, 3> <8612, 6>
6301  L 8612 6301 <8611, 6> <8613, 5>
6302  L 8613 6302 <8612, 5> <8614, 6>
6303  L 8614 6303 <8613, 6> <8615, 5>
6305  L 8615 6305 <8614, 5> <8616, 1>
6306  L 8616 6306 <8615, 1> <8617, 4>
6307  L 8617 6307 <8616, 4> <8618, 4>
6308  L 8618 6308 <8617, 4> <8619, 4>
6309  L 8619 6309 <8618, 4> <8620, 3>
6310  L 8620 6310 <8619, 3> <8621, 4>
6312  L 8621 6312 <8620, 4> <8622, 5>
6313  L 8622 6313 <8621, 5> <8623, 4>
6314  L 8623 6314 <8622, 4> <8624, 4>
6316  L 8624 6316 <8623, 4> <8625, 3>
6317  L 8625 6317 <8624, 3> <8626, 5>
6318  L 8626 6318 <8625, 5> <8627, 4>
6320  L 8627 6320 <8626, 4> <8628, 1>
6321  L 8628 6321 <8627, 1> <8629, 4>
6322  L 8629 6322 <8628, 4> <8630, 1>
6324  L 8630 6324 <8629, 1> <8631, 2>
6326  L 8631 6326 <8630, 2> <8632, 1>
6328  L 8632 6328 <8631, 1> <8633, 1>
6330  L 8633 6330 <8632, 1> <8634, 3>
6331  L 8634 6331 <8633, 3> <8635, 2>
6333  L 8635 6333 <8634, 2> <8636, 3>
6334  L 8636 6334 <8635, 3> <8637, 4>
6336  L 8637 6336 <8636, 4> <8638, 1>
6338  L 8638 6338 <8637, 1> <8639, 1>
6340  L 8639 6340 <8638, 1> <8640, 2>
6341  L 8640 6341 <8639, 2> <8641, 5>
6343  L 8641 6343 <8640, 5> <8642, 5>
6344  L 8642 6344 <8641, 5> <8643, 4>
6346  L 8643 6346 <8642, 4> <8644, 5>
6347  L 8644 6347 <8643, 5> <8645, 3>
6348  L 8645 6348 <8644, 3> <8646, 4>
